text,label,label_text
"instead of letting the laughs come as they may, lawrence unleashes his trademark misogyny -- er, comedy -- like a human volcano or an overflowing septic tank, take your pick.",0,negative
"a remake ) do anything as stomach-turning as the way adam sandler's new movie rapes, pillages and incinerates frank capra's classic",0,negative
"without ( de niro ), city by the sea would slip under the waves.",0,negative
", the film, directed by joel zwick, is heartfelt and hilarious in ways you ca n't fake.",1,positive
"which will please eastwood's loyal fans -- and suits the story, wherein our hero must ride roughshod over incompetent cops to get his man",1,positive
a young robert deniro,1,positive
"the gifts of all involved, starting with spielberg and going right through the ranks of the players -- on-camera and off -- that he brings together.",1,positive
"arliss howard's ambitious, moving, and adventurous directorial debut, big bad love,",1,positive
a muddle splashed with bloody beauty as vivid as any scorsese has ever given us.,1,positive
", it makes me wonder if lawrence hates criticism so much that he refuses to evaluate his own work.",0,negative
the movie is as padded as allen's jelly belly.,0,negative
"no, it's not as single-minded as john carpenter's original, but it's sure a lot smarter and more unnerving than the sequels.",1,positive
"this woefully hackneyed movie, directed by scott kalvert,",0,negative
even jason x ... look positively shakesperean by comparison,0,negative
what bubbles up out of john c. walsh's pipe dream is the distinct and very welcome sense of watching intelligent people making a movie they might actually want to watch.,1,positive
hoffman's powerful acting clinic,1,positive
"as a director, eastwood is off his game --",0,negative
so much like a young robert deniro,1,positive
", has stopped challenging himself",0,negative
sandler is losing his touch,0,negative
might as well have been titled generic jennifer lopez romantic comedy,0,negative
"the tuxedo was n't just bad ; it was, as my friend david cross would call it, ` hungry-man portions of bad '.",0,negative
"does n't get the job done, running off the limited chemistry created by ralph fiennes and jennifer lopez",0,negative
", martin is a masterfully conducted work.",1,positive
so many of the challenges it poses for itself that one can forgive the film its flaws,1,positive
"as david letterman and the onion have proven, the worst of tragedies can be fertile sources of humor,",1,positive
"we do n't get williams ' usual tear and a smile, just sneers and bile,",0,negative
is the most disappointing woody allen movie ever,0,negative
plummer steals the show without resorting to camp as nicholas ' wounded and wounding uncle ralph.,1,positive
clint eastwood's efficiently minimalist style,1,positive
"well, jason's gone to manhattan and hell, i guess a space station in the year 2455 can be crossed off the list of ideas for the inevitable future sequels ( hey, do n't shoot the messenger ).",0,negative
loves a david and goliath story,1,positive
fiji diver rusi vulakoro and the married couple howard and michelle hall ),1,positive
actually seem to understand what made allen's romantic comedies so pertinent and enduring,1,positive
the biggest problem with roger avary's uproar against the mpaa,0,negative
"writer-director walter hill and co-writer david giler try to create characters out of the obvious cliches, but wind up using them as punching bags.",0,negative
director david fincher and writer david koepp ca n't sustain it.,0,negative
"a high-end john hughes comedy,",1,positive
"the woodman seems to have directly influenced this girl-meets-girl love story, but even more reassuring is how its makers actually seem to understand what made allen's romantic comedies so pertinent and enduring.",1,positive
have emerged as hilarious lunacy in the hands of woody allen,1,positive
"it puts washington, as honest working man john q. archibald, on a pedestal, then keeps lifting the pedestal higher.",1,positive
said to squander jennifer love hewitt,0,negative
a wild comedy that could only spring from the demented mind of the writer of being john malkovich.,1,positive
scorsese's bold images and generally smart casting ensure that `` gangs '' is never lethargic,1,positive
there will be plenty of female audience members drooling over michael idemoto as michael,1,positive
even steven spielberg has dreamed up such blatant and sickening product placement in a movie.,0,negative
david letterman and the onion,1,positive
george's haplessness and,0,negative
"unlike ( scorsese's mean streets ), ash wednesday is essentially devoid of interesting characters or even a halfway intriguing plot.",0,negative
"adams just copies from various sources -- good sources, bad mixture",0,negative
the lousy john q,0,negative
"has a lot to do with the casting of juliette binoche as sand, who brings to the role her pale, dark beauty and characteristic warmth.",1,positive
"'s the kind of movie that, aside from robert altman, spike lee, the coen brothers and a few others, our moviemakers do n't make often enough.",1,positive
"was produced by jerry bruckheimer and directed by joel schumacher, and reflects the worst of their shallow styles : wildly overproduced, inadequately motivated every step of the way and demographically targeted to please every one ( and no one )",0,negative
graham greene's novel of colonialism and empire is elevated by michael caine's performance as a weary journalist in a changing world.,1,positive
two guys who desperately want to be quentin tarantino when they grow up,0,negative
i could have used my two hours better watching being john malkovich again.,0,negative
"proof of that on the cinematic front, look no further than this 20th anniversary edition of the film that spielberg calls",1,positive
acted by diane lane and richard gere.,1,positive
the rock's fighting skills are more in line with steven seagal,1,positive
're often undone by howard's self-conscious attempts to find a ` literary ' filmmaking style to match his subject,0,negative
one as brave and challenging as you could possibly expect these days from american cinema,1,positive
schticky chris rock and stolid anthony hopkins,1,positive
"thanks largely to williams, all the interesting developments are processed in 60 minutes -- the rest is just an overexposed waste of film",0,negative
admit it's semi-amusing to watch robert deniro belt out `` when you 're a jet,1,positive
